Index,Value,Extra
1,0.779,2.1758E-05
2,0.68,0.000240772
3,0.71,0.00035479
4,0.74,0.00038207
5,0.7538,0.000391282
6,0.75,0.000392348
7,0.73,0.000442622
8,0.7369,0.00047114
9,0.77,0.000528126
10,0.86,0.000808337
11,0.9225,0.001227534
12,1,0.001816959
13,0.9899,0.002343603
14,1.0499,0.002993982
15,1.1123,0.003769689
16,1.162,0.004633568
17,1.1979,0.005547691
18,1.1421,0.006272688
19,1.21,0.007142302
20,1.409,0.008495608
21,1.7001,0.010556829
22,1.6301,0.012351492
23,1.559,0.013889827
24,1.7949,0.015993551
25,1.9,0.018299804
26,2.2106,0.021348146
27,2.88,0.026067716
28,3.5,0.032278879
29,3.0331,0.037056738
30,3.2,0.042133218
31,3.41,0.04761881
32,3.4061,0.052937292
33,3.333,0.057913327
34,3.45,0.063066759
35,3.641,0.068594091
36,3.8659,0.074580062
37,3.8,0.08024035
38,5.81,0.091135118
39,5.5,0.100941393
40,6.3002,0.11266096
41,8.198,0.129195456
42,7.1977,0.142682871
43,6.987,0.155312371
44,8.0339,0.170480351
45,7.19,0.183068445
46,6.88,0.194567656
47,6.805,0.205635514
48,5.5904,0.213223932
49,6.1197,0.222088668
50,6.6901,0.2323194
51,7.1499,0.243597071
52,7.42,0.255396239
53,8.3997,0.269620887
54,8.798,0.284668068
55,8.5002,0.298653991
56,8.3001,0.311863938
57,8.4299,0.325203408
58,8.8,0.339321549
59,8.741,0.353052941
60,9.57,0.368801556
61,10.6,0.387081924
62,14.29,0.415035112
63,18.89,0.454976557
64,16.7,0.488411413
65,18.5499,0.526348266
66,23.9234,0.578243867
67,29.6,0.644728254
68,28.919,0.708436767
69,23.9497,0.757835009
70,14.6511,0.781429927
71,18.5464,0.815233833
72,19.84,0.852083875
73,19.28,0.886934989
74,19.49,0.921901361
75,17,0.94968499
76,15.681,0.973548971
77,16.89,1.000385577
78,17.51,1.028568527
79,17.51,1.056407782
80,17.51,1.083911624
81,17.51,1.111088039
82,17.51,1.137944732
83,17.51,1.164489138
84,17.51,1.190728436
85,16.45,1.213798451
86,16.75,1.237421936
87,16.9498,1.261324253
88,16.845,1.284679938
89,16.101,1.305765558
90,15.397,1.324716423
91,15.4,1.343473814
92,15.4405,1.36214355
93,13.86,1.376333778
94,12.9069,1.387793403
95,14.7835,1.404224999
96,14.7761,1.42047055
97,14.314,1.435300279
98,14.38,1.450162211
99,14.9,1.466289127
100,14.2091,1.480384972
101,14.0094,1.493803418
102,13.951,1.506935593
103,13.99,1.52004972
104,13.81,1.532552744
105,13.7191,1.544693264
106,13.16,1.555204676
107,13.48,1.566489271
108,13.8502,1.578677313
109,13.6894,1.590319918
110,13.61,1.601643882
111,13.6954,1.613100433
112,13.68,1.624415537
113,13.98,1.63644793
114,14.0478,1.648561647
115,13.8821,1.660122581
116,13.9394,1.67174203
117,13.4901,1.68204395
118,13.4983,1.692283011
119,13.5303,1.702525097
120,13.35,1.712193958
121,13.0946,1.721090761
122,12.05,1.727077367
123,9.26,1.728721444
124,10.75,1.731140361
125,9.7999,1.731323019
126,6.55,1.740339075
127,7.9,1.745615598
128,7.7999,1.751123995
129,9.99,1.751612145
130,9.98,1.752069435
131,9.4625,1.753022786
132,9.4605,1.753974514
133,10.131,1.754853263
134,10.7957,1.757533401
135,11.1498,1.761157224
136,10.9641,1.76424987
137,10.9456,1.767270103
138,10.83,1.76995445
139,11.65,1.774850647
140,11.453,1.779176653
141,11.3113,1.783087095
142,10.895,1.785837886
143,10.94,1.788692279
144,10.8506,1.791283989
145,9.657,1.791957832
146,8.1794,1.796648202
147,8.5902,1.800189327
148,9.0701,1.802400914
149,8.969,1.804873115
150,8.7913,1.807812825
151,8.1995,1.812344287
152,8.21,1.816817933
153,8.64,1.820092371
154,8.48,1.823781516
155,8.178,1.828269474
156,7.611,1.83427286
157,6.8628,1.842275776
158,7.1864,1.849347916
159,6.53,1.858163655
160,5.03,1.871009688
161,4.7739,1.884474756
162,5.8644,1.894888654
163,6.078,1.904658138
164,5.8,1.915126204
165,5.6193,1.926024083
166,4.84,1.938979911
167,4.82,1.951914002
168,4.77,1.964908639
169,5.2,1.976656494
170,5.46,1.98762823
171,6.1119,1.996761148
172,5.6114,2.007205275
173,5.4278,2.018090215
174,5.5451,2.028594105
175,5.4683,2.039248213
176,5.33,2.050219588
177,4.8697,2.062384101
178,4.9156,2.074356348
179,4.7725,2.086652715
180,4.7794,2.098863087
181,5.1401,2.110024249
182,5.0324,2.121418555
183,5.027,2.132766316
184,5.024,2.144061569
185,4.96,2.155471151
186,4.87,2.167065636
187,4.7344,2.178968648
188,4.2728,2.192067377
189,4.0075,2.205820947
190,4.1029,2.21924324
